campaign,ad_group,match_type,keyword,landing_url
Marque FormeducWeb,Marque,Exact,[formeducweb],https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-marque-2026-04&utm_content=adgroup-marque&utm_term={keyword}
Marque FormeducWeb,Marque,Phrase,"formeducweb",https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-marque-2026-04&utm_content=adgroup-marque&utm_term={keyword}
Marque FormeducWeb,Marque,Exact,[formeduc web],https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-marque-2026-04&utm_content=adgroup-marque&utm_term={keyword}
Marque FormeducWeb,Marque,Phrase,"formeduc web",https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-marque-2026-04&utm_content=adgroup-marque&utm_term={keyword}
Marque FormeducWeb,Marque,Exact,[formeducweb loi 25],https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-marque-2026-04&utm_content=adgroup-marque&utm_term={keyword}
Intention forte Loi 25,Diagnostic Loi 25,Exact,[diagnostic loi 25],https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-diagnostic&utm_term={keyword}
Intention forte Loi 25,Diagnostic Loi 25,Phrase,"diagnostic loi 25",https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-diagnostic&utm_term={keyword}
Intention forte Loi 25,Auto evaluation Loi 25,Exact,[auto evaluation loi 25],https://formeducweb.ca/loi-25/wizard?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-auto-evaluation&utm_term={keyword}
Intention forte Loi 25,Auto evaluation Loi 25,Phrase,"auto evaluation loi 25",https://formeducweb.ca/loi-25/wizard?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-auto-evaluation&utm_term={keyword}
Intention forte Loi 25,Auto evaluation Loi 25,Exact,[evaluation loi 25 pme],https://formeducweb.ca/loi-25/wizard?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-auto-evaluation&utm_term={keyword}
Intention forte Loi 25,Loi 25 PME Quebec,Exact,[loi 25 pme],https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-pme&utm_term={keyword}
Intention forte Loi 25,Loi 25 PME Quebec,Phrase,"loi 25 pme",https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-pme&utm_term={keyword}
Intention forte Loi 25,Loi 25 PME Quebec,Exact,[loi 25 quebec pme],https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-pme&utm_term={keyword}
Intention forte Loi 25,Loi 25 PME Quebec,Phrase,"loi 25 quebec pme",https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-pme&utm_term={keyword}
Intention forte Loi 25,Loi 25 PME Quebec,Exact,[conformite loi 25 site web],https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-pme&utm_term={keyword}
Intention forte Loi 25,Loi 25 PME Quebec,Phrase,"conformite loi 25 site web",https://formeducweb.ca/loi-25?utm_source=google&utm_medium=cpc&utm_campaign=loi25-googleads-intention-forte-2026-04&utm_content=adgroup-pme&utm_term={keyword}
